protocolo,empreendimento,latitude,longitude,lat_casa_forca,lon_casa_forca,autor,data,obs
146502512,CGH CAPIVARA,-25.640278,-51.861389,,-51.858382,Conferência geoespacial (Claude),2026-06-27,Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Capivara: mesma coord de Bela Vista (#84) — reservatório nítido (Rio Tapera). Em operação (ANEEL); barramento provável a jusante. Possível co-localização/duplicidade com Bela Vista.
160175346,CGH CAPIVARA,-25.640278,-51.861389,,,Conferência geoespacial (Claude),2026-06-27,Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Capivara: mesma coord de Bela Vista (#84) — reservatório nítido (Rio Tapera). Em operação (ANEEL); barramento provável a jusante. Possível co-localização/duplicidade com Bela Vista.
162208519,CGH CAPIVARA,-25.640278,-51.861389,,-51.858382,Conferência geoespacial (Claude),2026-06-27,Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Capivara: mesma coord de Bela Vista (#84) — reservatório nítido (Rio Tapera). Em operação (ANEEL); barramento provável a jusante. Possível co-localização/duplicidade com Bela Vista.
227799218,CGH CAPIVARA,-25.640278,-51.861389,,,Conferência geoespacial (Claude),2026-06-27,Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Capivara: mesma coord de Bela Vista (#84) — reservatório nítido (Rio Tapera). Em operação (ANEEL); barramento provável a jusante. Possível co-localização/duplicidade com Bela Vista.
78393688,CGH CASTRO,-24.737397,-50.118822,-24.729095,-50.120678,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Castro: pequena estrutura/barramento no marcador junto ao rio (em operação, ANEEL). Casa de força listada ~1 km a N — a pinar."
139632338,CGH CASTRO,-24.737397,-50.118822,-24.729095,-50.120678,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Castro: pequena estrutura/barramento no marcador junto ao rio (em operação, ANEEL). Casa de força listada ~1 km a N — a pinar."
148510385,CGH CASTRO,-24.737397,-50.118822,-24.729095,-50.120678,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Castro: pequena estrutura/barramento no marcador junto ao rio (em operação, ANEEL). Casa de força listada ~1 km a N — a pinar."
178686666,CGH CASTRO,-24.737397,-50.118822,-24.729095,-50.120678,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Castro: pequena estrutura/barramento no marcador junto ao rio (em operação, ANEEL). Casa de força listada ~1 km a N — a pinar."
201897068,CGH CASTRO,-24.737397,-50.118822,-24.729095,-50.120678,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Castro: pequena estrutura/barramento no marcador junto ao rio (em operação, ANEEL). Casa de força listada ~1 km a N — a pinar."
49470860,CGH CHOPIM I,-25.985576,-52.747351,,-52.74735,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Chopim I: barramento visível no Rio Chopim no marcador (coord ANEEL, em operação). Casa de força a pinar."
56580565,CGH CHOPIM I,-25.985576,-52.747351,,-52.74735,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Chopim I: barramento visível no Rio Chopim no marcador (coord ANEEL, em operação). Casa de força a pinar."
78680687,CGH CHOPIM I,-25.985576,-52.747351,,-52.74735,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Chopim I: barramento visível no Rio Chopim no marcador (coord ANEEL, em operação). Casa de força a pinar."
181059400,CGH CHOPIM I,-25.985576,-52.747351,-25.985444,-52.747527,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Chopim I: barramento visível no Rio Chopim no marcador (coord ANEEL, em operação). Casa de força a pinar."
136727095,CGH CLÓVIS VIGANÓ I,-25.586911,-53.081411,-25.588242,-53.081061,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Validado | Grau: Alto | Fase: Operação — CGH Alceu Viganó I: CONSTRUÍDA — reservatório extenso + crista de barramento (eixo ~130m SW do marcador, que caiu no espelho d'água) + casa de força a SE, todos visíveis. Coords lidas no GEP: barragem 25°35'12.88""S 53°04'53.08""O; casa de força 25°35'17.67""S 53°04'51.82""O. Achado no grupo prio-3 sem-match SIGA."
194940580,CGH CONDOMÍNIO SÃO LUIZ,-24.529842,-52.382462,-24.530414,-52.383125,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Validado | Grau: Alto | Fase: Operação — CGH Condomínio São Luiz: CONSTRUÍDA — reservatório do Rio Tração represado + crista de barramento no marcador + casa de força (prédio ~90 m a SW) + conduto/canal de fuga, todos visíveis (img 8/2024, obra recém-concluída). Achado no grupo prio-3 sem-match SIGA. Casa de força lida no GEP: 24°31'49.49""S 52°22'59.25""O."
140890197,CGH CONDOMÍNIO SÃO LUIZ,-24.529842,-52.382462,-24.530414,-52.383125,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Validado | Grau: Alto | Fase: Operação — CGH Condomínio São Luiz: CONSTRUÍDA — reservatório do Rio Tração represado + crista de barramento no marcador + casa de força (prédio ~90 m a SW) + conduto/canal de fuga, todos visíveis (img 8/2024, obra recém-concluída). Achado no grupo prio-3 sem-match SIGA. Casa de força lida no GEP: 24°31'49.49""S 52°22'59.25""O."
168262914,CGH CONDOMÍNIO SÃO LUIZ,-24.529842,-52.382462,-24.530414,-52.383125,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Validado | Grau: Alto | Fase: Operação — CGH Condomínio São Luiz: CONSTRUÍDA — reservatório do Rio Tração represado + crista de barramento no marcador + casa de força (prédio ~90 m a SW) + conduto/canal de fuga, todos visíveis (img 8/2024, obra recém-concluída). Achado no grupo prio-3 sem-match SIGA. Casa de força lida no GEP: 24°31'49.49""S 52°22'59.25""O."
79565245,CGH EVO,-24.474444,-51.792222,-24.471719,-51.794067,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Evo: rio com estruturas/edificações ao longo do vale (prédio azul a SE), barramento junto ao marcador. Em operação (ANEEL); casa de força ~300 m N (coord -24.471719,-51.794067)."
140970611,CGH EVO,-24.474444,-51.792222,-24.471719,-51.794067,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Evo: rio com estruturas/edificações ao longo do vale (prédio azul a SE), barramento junto ao marcador. Em operação (ANEEL); casa de força ~300 m N (coord -24.471719,-51.794067)."
25.398.554-2,CGH EVO,-24.474444,-51.792222,-24.471719,-51.794067,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Evo: rio com estruturas/edificações ao longo do vale (prédio azul a SE), barramento junto ao marcador. Em operação (ANEEL); casa de força ~300 m N (coord -24.471719,-51.794067)."
159539458,CGH EVO,-24.474444,-51.792222,-24.471719,-51.794067,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Evo: rio com estruturas/edificações ao longo do vale (prédio azul a SE), barramento junto ao marcador. Em operação (ANEEL); casa de força ~300 m N (coord -24.471719,-51.794067)."
25.268.795-5,CGH EVO,-24.474444,-51.792222,-24.471719,-51.794067,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Evo: rio com estruturas/edificações ao longo do vale (prédio azul a SE), barramento junto ao marcador. Em operação (ANEEL); casa de força ~300 m N (coord -24.471719,-51.794067)."
141582500,CGH FÊNIX,-26.280833,-52.297222,,-52.29704,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Alto | Fase: Em operação — CGH Fênix: barramento e salto visíveis no Rio Chopim no marcador (coord ANEEL, em operação). Co-localizada com CGH Salto Claudelino (#754)."
7726381,CGH FUNDÃO I,-25.703448,-52.002022,,,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Fundão I: mesma localização da UHE Fundão (#1520, Rio Jordão); em operação (ANEEL)."
132913951,CGH FUNDÃO I,-25.703448,-52.002022,,-52.002378,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Fundão I: mesma localização da UHE Fundão (#1520, Rio Jordão); em operação (ANEEL)."
152152620,CGH FUNDÃO I,-25.703448,-52.002022,,-52.002378,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Fundão I: mesma localização da UHE Fundão (#1520, Rio Jordão); em operação (ANEEL)."
196134840,CGH FUNDÃO I,-25.703448,-52.002022,?,?,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Fundão I: mesma localização da UHE Fundão (#1520, Rio Jordão); em operação (ANEEL)."
149810684,CGH GALINA,-26.292543,-52.448741,,-52.448952,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Galina: reservatório a S do marcador em área agrícola, barramento na extremidade. Em operação (ANEEL). Co-localizada (coord idêntica) com CGH Afirmac (#10)."
120961853,CGH GENEROSO,-25.616128,-53.081856,,-53.081183,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Generoso: rio largo com estrutura cruzando a NE do marcador (barramento), barragem na transição. Em operação (ANEEL)."
135130974,CGH GENEROSO,-25.616128,-53.081856,,-53.081183,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Generoso: rio largo com estrutura cruzando a NE do marcador (barramento), barragem na transição. Em operação (ANEEL)."
145369010,CGH GENEROSO,-25.616128,-53.081856,,-53.081183,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Generoso: rio largo com estrutura cruzando a NE do marcador (barramento), barragem na transição. Em operação (ANEEL)."
192654319,CGH ITAPEJARA,-25.997081,-52.785434,-25.98928,-52.79665,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Médio | Fase: Em operação — CGH Itapejara: barramento no rio no marcador + complexo a NW. Em operação (ANEEL); casa de força ~1,4 km NW (coord -25.989280,-52.796650)."
120852230,CGH LIBERA MARIA,-26.084454,-51.62643,,-51.62643,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Validado | Grau: Alto | Fase: Operação — CGH Libera Maria: CGH CONSTRUÍDA — conduto forçado (penstock) descendo a encosta, casa de força (edificação telhado laranja), tomada d'água e obras junto ao rio claramente visíveis (zoom). Descoberta no grupo prio-3 'sem match SIGA' (5ª CGH construída encontrada, como #234/#25/#490). Terraplenagem extensa em 9/2023 (obras recentes); provavelmente em operação na data atual. Confirmar potência/operação em 2ª passada."
162806513,CGH LIBERA MARIA,-26.084454,-51.62643,,-51.62643,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Validado | Grau: Alto | Fase: Operação — CGH Libera Maria: CGH CONSTRUÍDA — conduto forçado (penstock) descendo a encosta, casa de força (edificação telhado laranja), tomada d'água e obras junto ao rio claramente visíveis (zoom). Descoberta no grupo prio-3 'sem match SIGA' (5ª CGH construída encontrada, como #234/#25/#490). Terraplenagem extensa em 9/2023 (obras recentes); provavelmente em operação na data atual. Confirmar potência/operação em 2ª passada."
181646209,CGH LIBERA MARIA,-26.084454,-51.62643,,,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Validado | Grau: Alto | Fase: Operação — CGH Libera Maria: CGH CONSTRUÍDA — conduto forçado (penstock) descendo a encosta, casa de força (edificação telhado laranja), tomada d'água e obras junto ao rio claramente visíveis (zoom). Descoberta no grupo prio-3 'sem match SIGA' (5ª CGH construída encontrada, como #234/#25/#490). Terraplenagem extensa em 9/2023 (obras recentes); provavelmente em operação na data atual. Confirmar potência/operação em 2ª passada."
187528160,CGH LIBERA MARIA,-26.084454,-51.62643,?,?,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Validado | Grau: Alto | Fase: Operação — CGH Libera Maria: CGH CONSTRUÍDA — conduto forçado (penstock) descendo a encosta, casa de força (edificação telhado laranja), tomada d'água e obras junto ao rio claramente visíveis (zoom). Descoberta no grupo prio-3 'sem match SIGA' (5ª CGH construída encontrada, como #234/#25/#490). Terraplenagem extensa em 9/2023 (obras recentes); provavelmente em operação na data atual. Confirmar potência/operação em 2ª passada."
189216050,CGH LIBERA MARIA,-26.084454,-51.62643,,,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Validado | Grau: Alto | Fase: Operação — CGH Libera Maria: CGH CONSTRUÍDA — conduto forçado (penstock) descendo a encosta, casa de força (edificação telhado laranja), tomada d'água e obras junto ao rio claramente visíveis (zoom). Descoberta no grupo prio-3 'sem match SIGA' (5ª CGH construída encontrada, como #234/#25/#490). Terraplenagem extensa em 9/2023 (obras recentes); provavelmente em operação na data atual. Confirmar potência/operação em 2ª passada."
181327995,CGH MARAVILHA,-25.981059,-52.216972,-25.989602,-52.219909,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Alto | Fase: Em operação — CGH Maravilha: reservatório nítido + barramento no marcador. Em operação (ANEEL); casa de força ~1 km S (coord -25.989602,-52.219909)."
166937515,CGH MARAVILHA,-25.981059,-52.216972,-25.989602,-52.219909,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Alto | Fase: Em operação — CGH Maravilha: reservatório nítido + barramento no marcador. Em operação (ANEEL); casa de força ~1 km S (coord -25.989602,-52.219909)."
186112210,CGH MARAVILHA,-25.981059,-52.216972,-25.989602,-52.219909,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Alto | Fase: Em operação — CGH Maravilha: reservatório nítido + barramento no marcador. Em operação (ANEEL); casa de força ~1 km S (coord -25.989602,-52.219909)."
203208820,CGH MARAVILHA,-25.981059,-52.216972,-25.989602,-52.219909,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Alto | Fase: Em operação — CGH Maravilha: reservatório nítido + barramento no marcador. Em operação (ANEEL); casa de força ~1 km S (coord -25.989602,-52.219909)."
226958681,CGH MARAVILHA,-25.981059,-52.216972,-25.989602,-52.219909,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Alto | Fase: Em operação — CGH Maravilha: reservatório nítido + barramento no marcador. Em operação (ANEEL); casa de força ~1 km S (coord -25.989602,-52.219909)."
235509482,CGH MARAVILHA,-25.981059,-52.216972,-25.989602,-52.219909,Conferência geoespacial (Claude),2026-06-27,"Barragem: Validado | Casa de força: Pendente de validação | Grau: Alto | Fase: Em operação — CGH Maravilha: reservatório nítido + barramento no marcador. Em operação (ANEEL); casa de força ~1 km S (coord -25.989602,-52.219909)."
135810037,CGH MARIA CAVALEIRA (SALTINHO),-24.031837,-52.266368,-24.0336,-52.261,Conferência geoespacial (Claude),2026-06-27,Barragem: Validado | Casa de força: Validado | Grau: Alto | Fase: Operação — CGH Maria Cavaleira (Saltinho): CONSTRUÍDA — reservatório represado + barragem (no marcador) + casa de força (rótulo GEP 'Usina CGH Maria Cavaleira' ~550m SE) + rótulo 'Cachoeira Barreiro das...'. Achado no prio-3 sem-match SIGA. Casa de força aproximada (refinar 2ª passada; barra de status do GEP não atualiza no hover via computer-use).
154132287,CGH MARIA CAVALEIRA (SALTINHO),-24.031837,-52.266368,-24.0336,-52.261,Conferência geoespacial (Claude),2026-06-27,Barragem: Validado | Casa de força: Validado | Grau: Alto | Fase: Operação — CGH Maria Cavaleira (Saltinho): CONSTRUÍDA — reservatório represado + barragem (no marcador) + casa de força (rótulo GEP 'Usina CGH Maria Cavaleira' ~550m SE) + rótulo 'Cachoeira Barreiro das...'. Achado no prio-3 sem-match SIGA. Casa de força aproximada (refinar 2ª passada; barra de status do GEP não atualiza no hover via computer-use).
211003626,CGH MARIA CAVALEIRA (SALTINHO),-24.031837,-52.266368,-24.0336,-52.261,Conferência geoespacial (Claude),2026-06-27,Barragem: Validado | Casa de força: Validado | Grau: Alto | Fase: Operação — CGH Maria Cavaleira (Saltinho): CONSTRUÍDA — reservatório represado + barragem (no marcador) + casa de força (rótulo GEP 'Usina CGH Maria Cavaleira' ~550m SE) + rótulo 'Cachoeira Barreiro das...'. Achado no prio-3 sem-match SIGA. Casa de força aproximada (refinar 2ª passada; barra de status do GEP não atualiza no hover via computer-use).
222625483,CGH MARIA CAVALEIRA (SALTINHO),-24.031837,-52.266368,-24.0336,-52.261,Conferência geoespacial (Claude),2026-06-27,Barragem: Validado | Casa de força: Validado | Grau: Alto | Fase: Operação — CGH Maria Cavaleira (Saltinho): CONSTRUÍDA — reservatório represado + barragem (no marcador) + casa de força (rótulo GEP 'Usina CGH Maria Cavaleira' ~550m SE) + rótulo 'Cachoeira Barreiro das...'. Achado no prio-3 sem-match SIGA. Casa de força aproximada (refinar 2ª passada; barra de status do GEP não atualiza no hover via computer-use).
236002152,CGH MARIA CAVALEIRA (SALTINHO),-24.031837,-52.266368,-24.0336,-52.261,Conferência geoespacial (Claude),2026-06-27,Barragem: Validado | Casa de força: Validado | Grau: Alto | Fase: Operação — CGH Maria Cavaleira (Saltinho): CONSTRUÍDA — reservatório represado + barragem (no marcador) + casa de força (rótulo GEP 'Usina CGH Maria Cavaleira' ~550m SE) + rótulo 'Cachoeira Barreiro das...'. Achado no prio-3 sem-match SIGA. Casa de força aproximada (refinar 2ª passada; barra de status do GEP não atualiza no hover via computer-use).
91651610,CGH MOINHO,-24.419167,-54.027778,,-54.028412,Conferência geoespacial (Claude),2026-06-27,Barragem: Validado | Casa de força: Pendente de validação | Grau: Alto | Fase: Em operação — CGH Moinho: barramento claramente visível no Arroio Guaçu (reservatório a montante) — confirmado em revisão anterior na mesma coordenada.
72675851,CGH MOINHO,-24.419167,-54.027778,,-54.028412,Conferência geoespacial (Claude),2026-06-27,Barragem: Validado | Casa de força: Pendente de validação | Grau: Alto | Fase: Em operação — CGH Moinho: barramento claramente visível no Arroio Guaçu (reservatório a montante) — confirmado em revisão anterior na mesma coordenada.
120216007,CGH MOINHO,-24.419167,-54.027778,,-54.028412,Conferência geoespacial (Claude),2026-06-27,Barragem: Validado | Casa de força: Pendente de validação | Grau: Alto | Fase: Em operação — CGH Moinho: barramento claramente visível no Arroio Guaçu (reservatório a montante) — confirmado em revisão anterior na mesma coordenada.
134572990,CGH MOINHO,-24.419167,-54.027778,,-54.028412,Conferência geoespacial (Claude),2026-06-27,Barragem: Validado | Casa de força: Pendente de validação | Grau: Alto | Fase: Em operação — CGH Moinho: barramento claramente visível no Arroio Guaçu (reservatório a montante) — confirmado em revisão anterior na mesma coordenada.
155065460,CGH MOINHO,-24.419167,-54.027778,,-54.028412,Conferência geoespacial (Claude),2026-06-27,Barragem: Validado | Casa de força: Pendente de validação | Grau: Alto | Fase: Em operação — CGH Moinho: barramento claramente visível no Arroio Guaçu (reservatório a montante) — confirmado em revisão anterior na mesma coordenada.
