id_emp,codigo,protocolo,empreendimento,tipo,situacao,potencia_mw,rio,municipio,lat_barragem,lon_barragem,lat_casa_forca,lon_casa_forca,lat_barragem_original,lon_barragem_original,lat_barragem_conferida,lon_barragem_conferida,coordenada_status,status_barragem,status_casa_forca,fase_verificada,grau_confianca,observacao,data_conferencia,origem_conferencia,prioridade_siga,siga_fase,siga_nome,chave_local
11,,199711261,CGH AFIRMAC,CGH,PROTOCOLADO,1,SÃO FRANCISCO,CLEVELÂNDIA,-26.292543,-52.448741,,-52.448903,-26.29275,-52.448903,-26.292543,-52.448741,Confirmada visual,Validado,Pendente de validação,Em operação,Médio,CGH Afirmac: mesma coord do CGH Galina (#355) — reservatório/barramento em área agrícola. Em operação (ANEEL). Possível duplicidade de registro do mesmo aproveitamento.,2026-06-21,propagado:#10,0,Operação,ARFIMAC,"-26.2928,-52.4489"
12,,79110981,CGH ÁGUA BENTA,CGH,DEFERIDO,1,PALMITAL,UNIÃO DA VITÓRIA / CRUZ MACHADO,-26.004161,-51.057,,-51.093386,-26.004161,-51.057,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Água Benta: terreno densamente florestado com clareiras de pasto e vale/drenagem natural, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,direta,3,,,"-26.0042,-51.057"
13,,216149386,CGH ÁGUA BENTA,CGH,PROTOCOLADO,1,PALMITAL,UNIÃO DA VITÓRIA / CRUZ MACHADO,-26.004161,-51.057,-26.004614,-51.093961,-26.004161,-51.057,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Água Benta: terreno densamente florestado com clareiras de pasto e vale/drenagem natural, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,propagado:#12,3,,,"-26.0042,-51.057"
14,,185248852,CGH ÁGUA DO BRAZ,CGH,DEFERIDO,1.6,MELISSA,CAFELÂNDIA / CORBÉLIA,-24.674502,-53.300786,-24.670730555556,-53.304658333333,-24.674502,-53.300786,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Água do Braz: lavoura de contorno (Rio Melissa) com vales florestados e açudes/tanques de propriedade, sem barragem/casa de força no marcador. Não construída.",2026-06-21,direta,3,,,"-24.6745,-53.3008"
15,,141138120,CGH ÁGUA DO BRAZ,CGH,ARQUIVADO,1.5,MELISSA,CAFELÂNDIA / CORBÉLIA,-24.674502,-53.300786,,-53.300634,-24.674502,-53.300786,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Água do Braz: lavoura de contorno (Rio Melissa) com vales florestados e açudes/tanques de propriedade, sem barragem/casa de força no marcador. Não construída.",2026-06-21,propagado:#14,3,,,"-24.6745,-53.3008"
16,,214757583,CGH ÁGUA DO BRAZ,CGH,PROTOCOLADO,1.6,MELISSA,CAFELÂNDIA / CORBÉLIA,-24.674502,-53.300786,-24.670505,-53.294888,-24.674502,-53.300786,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Água do Braz: lavoura de contorno (Rio Melissa) com vales florestados e açudes/tanques de propriedade, sem barragem/casa de força no marcador. Não construída.",2026-06-21,propagado:#14,3,,,"-24.6745,-53.3008"
17,,189962487,CGH ÁGUA PARADA,CGH,DEFERIDO,1.8,DOS PATOS,PRUDENTÓPOLIS,-25.196294,-50.942322,-25.196473,-50.941792,-25.196294,-50.942322,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Água Parada: Rio dos Patos meândrico natural em vale agrícola/florestal (Prudentópolis), sem barragem. Não construída.",2026-06-21,direta,3,,,"-25.1963,-50.9423"
18,,215021963,CGH ÁGUA PARADA,CGH,PROTOCOLADO,1.8,DOS PATOS,PRUDENTÓPOLIS,-25.196278,-50.942347,-25.196397,-50.941733,-25.196278,-50.942347,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Água Parada: Rio dos Patos meândrico natural em vale agrícola/florestal (Prudentópolis), sem barragem. Não construída.",2026-06-21,propagado:#17,3,,,"-25.1963,-50.9423"
19,,79116220,CGH ÁGUA SANTA,CGH,DEFERIDO,1,PALMITAL,UNIÃO DA VITÓRIA,-26.010421,-51.054323,,-51.056759,-26.010421,-51.054323,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Água Santa: Rio Palmital com cachoeira/corredeiras naturais (rótulo GEP 'Cachoeira/Usina Velha' = toponímia de antiga usina/queda), sem reservatório/barragem/casa de força de CGH construída. Não construída (sítio de cachoeira natural).",2026-06-21,direta,3,,,"-26.0104,-51.0543"
20,,216635485,CGH ÁGUA SANTA,CGH,PROTOCOLADO,1,PALMITAL,UNIÃO DA VITÓRIA,-26.010421,-51.054323,-26.008803,-51.057789,-26.010421,-51.054323,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Água Santa: Rio Palmital com cachoeira/corredeiras naturais (rótulo GEP 'Cachoeira/Usina Velha' = toponímia de antiga usina/queda), sem reservatório/barragem/casa de força de CGH construída. Não construída (sítio de cachoeira natural).",2026-06-21,propagado:#19,3,,,"-26.0104,-51.0543"
21,,141139320,CGH ÁGUA SANTA (CONSTRUNÍVEL),CGH,ARQUIVADO,2.55,PALMITAL,CAFELÂNDIA / CORBÉLIA,-26.00885,-51.056759,,-51.056759,-26.00885,-51.056759,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Água Santa (Construnável): rio natural em vale florestado (corredeira/afloramento no marcador), sem barragem. Não construída.",2026-06-21,direta,3,,,"-26.0088,-51.0568"
22,00.001-1,224479514,CGH AGUAS PERDIDAS,CGH,DEFERIDO,1,RIBEIRÃO CARATUVA,CAMPINA DA LAGOA / NOVA CANTU,-24.663122,-52.682513,,,-24.663122,-52.682513,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Aguas Perdidas: mosaico florestado/agrícola com vale/drenagem natural, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,direta,3,,,"-24.6631,-52.6825"
23,00.002-1,188687040,CGH AGUAS PERDIDAS,CGH,DEFERIDO,1,CARATUVA,CAMPINA DA LAGOA / NOVA CANTU,-24.663122,-52.682513,-24.671139,-52.684974,-24.663122,-52.682513,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Aguas Perdidas: mosaico florestado/agrícola com vale/drenagem natural, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,propagado:#22,3,,,"-24.6631,-52.6825"
24,00.003-1,163752360,CGH ALBERTI,CGH,ARQUIVADO,0.2,VILA NOVA,MANGUEIRINHA,-25.935572,-52.183133,-25.932908,-52.181275,-25.935572,-52.183133,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Alberti: área urbana (Coronel Vivida), sem barragem/reservatório/casa de força. Não construída.",2026-06-21,direta,3,,,"-25.9356,-52.1831"
25,00.004-1,136727885,CGH ALCEU VIGANÓ I,CGH,DEFERIDO,5,CHOPIM,SÃO JORGE D'OESTE / CRUZEIRO DO IGUAÇU,-25.586911,-53.081411,-25.588242,-53.081061,-25.586361,-53.080297,-25.586911,-53.081411,Confirmada visual,Validado,Validado,Operação,Alto,"CGH Alceu Viganó I: CONSTRUÍDA — reservatório extenso + crista de barramento (eixo ~130m SW do marcador, que caiu no espelho d'água) + casa de força a SE, todos visíveis. Coords lidas no GEP: barragem 25°35'12.88""S 53°04'53.08""O; casa de força 25°35'17.67""S 53°04'51.82""O. Achado no grupo prio-3 sem-match SIGA.",2026-06-21,direta,3,,,"-25.5864,-53.0803"
26,00.005-1,153596581,CGH ALCEU VIGANÓ I,CGH,DEFERIDO,5,CHOPIM,SÃO JORGE D'OESTE / CRUZEIRO DO IGUAÇU,-25.586911,-53.081411,-25.588242,-53.081061,-25.586361,-53.080297,-25.586911,-53.081411,Confirmada visual,Validado,Validado,Operação,Alto,"CGH Alceu Viganó I: CONSTRUÍDA — reservatório extenso + crista de barramento (eixo ~130m SW do marcador, que caiu no espelho d'água) + casa de força a SE, todos visíveis. Coords lidas no GEP: barragem 25°35'12.88""S 53°04'53.08""O; casa de força 25°35'17.67""S 53°04'51.82""O. Achado no grupo prio-3 sem-match SIGA.",2026-06-21,propagado:#25,3,,,"-25.5864,-53.0803"
27,00.006-1,168806914,CGH ALCEU VIGANÓ I,CGH,DEFERIDO,5,CHOPIM,"CRUZEIRO DO IGUAÇU, SÃO JORGE DO OESTE",-25.586911,-53.081411,-25.588242,-53.081061,-25.586361,-53.080297,-25.586911,-53.081411,Confirmada visual,Validado,Validado,Operação,Alto,"CGH Alceu Viganó I: CONSTRUÍDA — reservatório extenso + crista de barramento (eixo ~130m SW do marcador, que caiu no espelho d'água) + casa de força a SE, todos visíveis. Coords lidas no GEP: barragem 25°35'12.88""S 53°04'53.08""O; casa de força 25°35'17.67""S 53°04'51.82""O. Achado no grupo prio-3 sem-match SIGA.",2026-06-21,propagado:#25,3,,,"-25.5864,-53.0803"
28,00.007-1,172881467,CGH ALCEU VIGANÓ I,CGH,DEFERIDO,5,CHOPIM,SÃO JORGE D'OESTE / CRUZEIRO DO IGUAÇU,-25.586911,-53.081411,-25.588242,-53.081061,-25.586361,-53.080297,-25.586911,-53.081411,Confirmada visual,Validado,Validado,Operação,Alto,"CGH Alceu Viganó I: CONSTRUÍDA — reservatório extenso + crista de barramento (eixo ~130m SW do marcador, que caiu no espelho d'água) + casa de força a SE, todos visíveis. Coords lidas no GEP: barragem 25°35'12.88""S 53°04'53.08""O; casa de força 25°35'17.67""S 53°04'51.82""O. Achado no grupo prio-3 sem-match SIGA.",2026-06-21,propagado:#25,3,,,"-25.5864,-53.0803"
29,00.008-1,184862956,CGH ALCEU VIGANÓ I, CGH,DEFERIDO,5,CHOPIM,"CRUZEIRO DO IGUAÇU, SÃO JORGE DO OESTE",-25.586911,-53.081411,-25.588242,-53.081061,-25.586361,-53.080297,-25.586911,-53.081411,Confirmada visual,Validado,Validado,Operação,Alto,"CGH Alceu Viganó I: CONSTRUÍDA — reservatório extenso + crista de barramento (eixo ~130m SW do marcador, que caiu no espelho d'água) + casa de força a SE, todos visíveis. Coords lidas no GEP: barragem 25°35'12.88""S 53°04'53.08""O; casa de força 25°35'17.67""S 53°04'51.82""O. Achado no grupo prio-3 sem-match SIGA.",2026-06-21,propagado:#25,3,,,"-25.5864,-53.0803"
30,00.009-1,136728245,CGH ALCEU VIGANÓ II,CGH,DEFERIDO,3,CHOPIM,CRUZEIRO DO IGUAÇU,-25.586267,-53.05964,,,-25.586267,-53.05964,,,Original/SIGA (não re-medida),Pendente de validação,Pendente de validação,Pendente de validação,Médio,"CGH Alceu Viganó II (2ª passada, IMAGENS HISTÓRICAS): o Rio Chopim no marcador era RIO LIVRE/estreito em 1999 (Maxar) e aparece como RESERVATÓRIO AMPLO em 2015 (CNES/Airbus, sem reflexo) e 2023 — confirma BARRAMENTO CONSTRUÍDO a jusante represando o Chopim; o marcador está dentro do reservatório. Não foi possível localizar a crista/casa de força no marcador (estrutura a jusante) nem confirmar se o reservatório é da própria 'Viganó II' (prio-3 sem SIGA) ou de PCH/UHE maior a jusante. Há impactação hidrelétrica real no local → mantém Pendente (não é 'rio livre'); fixar usina por cadastro/campo.",2026-06-26,direta,3,,,"-25.5863,-53.0596"
31,,180972560,CGH ALGACIR,CGH,DEFERIDO,1.5,PALMITAL,CRUZ MACHADO ,-26.086994,-51.24508,-26.088755,-51.244239,-26.086994,-51.24508,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Algacir: terreno florestado/pasto com curso d'água meândrico natural a jusante, sem barragem/casa de força no marcador. Não construída.",2026-06-21,direta,3,,,"-26.087,-51.2451"
32,,224884966,CGH ALGACIR,CGH,DEFERIDO,1.3,PALMITAL,CRUZ MACHADO ,-26.086994,-51.24508,-26.088755,-51.244239,-26.086994,-51.24508,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Algacir: terreno florestado/pasto com curso d'água meândrico natural a jusante, sem barragem/casa de força no marcador. Não construída.",2026-06-21,propagado:#31,3,,,"-26.087,-51.2451"
33,,258729692,CGH ALGACIR,CGH,PROTOCOLADO,"1,300",PALMITAL,CRUZ MACHADO ,-26.086994,-51.24508,,,"-26,086994","-51,24508",,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Algacir: terreno florestado/pasto com curso d'água meândrico natural a jusante, sem barragem/casa de força no marcador. Não construída.",2026-06-21,propagado:#31,3,,,"-26.087,-51.2451"
34,,25.872.969-2,CGH ALGACIR,CGH,PROTOCOLADO,"1,300",PALMITAL,CRUZ MACHADO ,-26.086994,-51.24508,-26.088755,-51.244239,"-26,086994","-51,24508",,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Algacir: terreno florestado/pasto com curso d'água meândrico natural a jusante, sem barragem/casa de força no marcador. Não construída.",2026-06-21,propagado:#31,3,,,"-26.087,-51.2451"
35,,149448454,CGH ALIANÇA,CGH,ARQUIVADO,3.65,ANDRADA,CASCAVEL,-25.190064,-53.430134,,-53.430134,-25.190064,-53.430134,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Aliança: rio meândrico natural em vale florestado escuro, sem barragem. Não construída.",2026-06-21,direta,3,,,"-25.1901,-53.4301"
36,,79227897,CGH ALTO ALEGRE,CGH,DEFERIDO,1,PIQUIRI,UBIRATÃ/ RANCHO ALEGRE D'OESTE,-24.396748,-53.048098,,-53.048098,-24.396748,-53.048098,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Alto Alegre: lavoura com vale florestado/drenagem natural (imagem escura), sem barragem/reservatório/casa de força. Não construída.",2026-06-21,direta,3,,,"-24.3967,-53.0481"
37,,141423797,CGH ALTO ALEGRE,CGH,PROTOCOLADO,1,VERDE,UBIRATÃ,-24.396748,-53.048098,,-53.048098,-24.396748,-53.048098,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Alto Alegre: lavoura com vale florestado/drenagem natural (imagem escura), sem barragem/reservatório/casa de força. Não construída.",2026-06-21,propagado:#36,3,,,"-24.3967,-53.0481"
38,,185298000,CGH ALTO TRICOLOR,CGH,DEFERIDO,1.8,TRICOLOR,MAMBORÊ ,-24.478268,-52.720527,-24.475047222222,-52.724888888889,-24.478268,-52.720527,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Alto Tricolor: Rio Tricolor meândrico/corredeiras em lavoura (Mamborê), sem barragem. Não construída.",2026-06-21,direta,3,,,"-24.4783,-52.7205"
39,,246141401,CGH ALTO TRICOLOR,CGH,PROTOCOLADO,1.8,TRICOLOR,MAMBORÊ ,-24.478268,-52.720527,-24.475047222222,-52.724888888889,-24.478268,-52.720527,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Alto Tricolor: Rio Tricolor meândrico/corredeiras em lavoura (Mamborê), sem barragem. Não construída.",2026-06-21,propagado:#38,3,,,"-24.4783,-52.7205"
40,,187476011,CGH ALVORADA,CGH,DEFERIDO,1.2,MELISSA,CAFELÂNDIA,-24.691022,-53.296676,-24.685605,-53.296019,-24.691022,-53.296676,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Alvorada: lavoura extensa com fragmentos de mata/drenagem natural e aviários, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,direta,3,,,"-24.691,-53.2967"
41,,227901934,CGH ALVORADA,CGH,PROTOCOLADO,1.2,MELISSA,CAFELÂNDIA,-24.691022,-53.296676,,,-24.691022,-53.296676,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Alvorada: lavoura extensa com fragmentos de mata/drenagem natural e aviários, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,propagado:#40,3,,,"-24.691,-53.2967"
42,,150826314,CGH AMANAYTU,MGH,DEFERIDO,0.3,IGUAÇU,LAPA / PORTO AMAZONAS ,-25.546602,-49.878549,,-49.878549,-25.546602,-49.878549,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Amanaytu: rio Iguaçu meândrico (bancos de areia, fluxo natural) no marcador, sem barragem. Não construída.",2026-06-21,direta,3,,,"-25.5466,-49.8785"
43,,161833924,CGH AMANAYTU,CGH,PROTOCOLADO,0.3,IGUAÇU,LAPA / PORTO AMAZONAS ,-25.546602,-49.878549,,-49.878549,-25.546602,-49.878549,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Amanaytu: rio Iguaçu meândrico (bancos de areia, fluxo natural) no marcador, sem barragem. Não construída.",2026-06-21,propagado:#42,3,,,"-25.5466,-49.8785"
44,,229915703,CGH ANHUMAÍ,CGH,PROTOCOLADO,1.2,ANHUMAÍ,SÃO CARLOS DO IVAÍ,-23.319033,-52.522854,,,-23.319033,-52.522854,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Anhumaí: rio meândrico natural com mata ciliar em vale agrícola, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,direta,3,,,"-23.319,-52.5229"
45,,187077311,CGH ARARAS,CGH,DEFERIDO,1,DO POÇO,GOIOXIM / GUARAPUAVA,-25.31546,-51.941587,-25.314026,-51.950251,-25.31546,-51.941587,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Araras: lavoura/pasto com fragmentos de mata e drenagem natural, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,propagado:#46,3,,,"-25.3155,-51.9416"
46,,154991204,CGH ARARAS,CGH,ARQUIVADO,1.1,DO POÇO,GUARAPUAVA / GOIOXIM,-25.31546,-51.941587,-25.314026,-51.950251,-25.31546,-51.941587,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Araras: lavoura/pasto com fragmentos de mata e drenagem natural, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,direta,3,,,"-25.3155,-51.9416"
47,,210349588,CGH ARARAS,CGH,PROTOCOLADO,1,DO POÇO,GOIOXIM / GUARAPUAVA,-25.31546,-51.941587,-25.314026,-51.950251,-25.31546,-51.941587,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Araras: lavoura/pasto com fragmentos de mata e drenagem natural, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,propagado:#46,3,,,"-25.3155,-51.9416"
48,,189955995,CGH ARIRANHA,CGH,DEFERIDO,1.5,RIBEIRÃO ARIRANHA,ARIRANHA DO IVAÍ,-24.401728,-51.543643,-24.400736,-51.539946,-24.401728,-51.543643,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Ariranha: lavoura/pasto com vales florestados/drenagem natural, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,direta,3,,,"-24.4017,-51.5436"
49,,201169569,CGH ARIRANHA,CGH,DEFERIDO,1.5,RIBEIRÃO ARIRANHA,ARIRANHA DO IVAÍ,-24.401728,-51.543643,-24.400736,,-24.401728,-51.543643,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Ariranha: lavoura/pasto com vales florestados/drenagem natural, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,propagado:#48,3,,,"-24.4017,-51.5436"
50,,151137610,CGH ARROIO DA COTIA,CGH,ARQUIVADO,2,ARROIO DO COTIA,CARAMBEÍ / TIBAGI,-24.781219,-50.278376,-24.784332,-50.300405,-24.781219,-50.278376,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Arroio da Cotia: lavoura com vales florestados/drenagem natural, sem barragem. Não construída.",2026-06-21,direta,3,,,"-24.7812,-50.2784"
51,,185277852,CGH ARVOREDO,CGH,DEFERIDO,3.65,CACHOEIRA,TURVO,-25.006958,-51.506402,-24.996069444444,-51.500013888889,-25.006958,-51.506402,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Arvoredo: terreno agrícola/florestal com drenagem natural, sem barragem/reservatório. Não construída.",2026-06-21,direta,3,,,"-25.007,-51.5064"
52,,211559012,CGH ARVOREDO,CGH,PROTOCOLADO,3.65,CACHOEIRA,TURVO,-25.006958,-51.506402,-24.996069444444,-51.500013888889,-25.006958,-51.506402,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Arvoredo: terreno agrícola/florestal com drenagem natural, sem barragem/reservatório. Não construída.",2026-06-21,propagado:#51,3,,,"-25.007,-51.5064"
53,,77036806,CGH ASSIS CHATEAUBRIAND,CGH,ARQUIVADO,0.88,ALÍVIO,ASSIS CHATEAUBRIAND,-24.417252,-53.487565,,-53.487565,-24.417252,-53.487565,,,Original/SIGA (não re-medida),Validado,Validado,Em operação,Médio,"Validado por registro ANEEL=operação com match SIGA confiável (2ª passada). CGH/PCH pequena de cascata; imagem de satélite insuficiente p/ confirmação visual conclusiva nesta passada — eixo/casa de força a confirmar em campo. CGH Assis Chateaubriand (Rio Alívio; cascata 'do garcia', mesma operação do #290).",2026-06-26,direta,0,Operação,do garcia,"-24.4173,-53.4876"
54,,135939544,CGH AVECON,CGH,INDEFERIDO,1,DOS ÍNDIOS,JAPURÁ / INDIANOPOLIS,-23.454454,-52.602965,,-52.602965,-23.454454,-52.602965,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Avecon: mesmo trecho do #333 Farolete (~35m) — rio meândrico natural com corredeiras (água esbranquiçada) em lavoura, sem barragem/reservatório/casa de força. Não construída.",2026-06-21,direta,3,,,"-23.4545,-52.603"
55,,228953849,CGH AZUL,CGH,PROTOCOLADO,0.5,AZUL,ARIRANHA DO IVAÍ,-24.352599,-51.573225,,,-24.352599,-51.573225,,,Original/SIGA (não re-medida),Não construído,Não construído,Não construído,Médio,"CGH Azul: lavoura/pasto com vale florestado/drenagem natural e estrada (região Rio Azul), sem barragem/reservatório/casa de força. Não construída.",2026-06-21,direta,3,,,"-24.3526,-51.5732"
